分数,2025年,2024年,2023年,2022年
650,792,195,385,559
649,96,28,45,62
648,82,41,57,51
647,103,29,72,52
646,85,32,78,61
645,107,40,83,71
644,107,45,73,69
643,110,40,89,61
642,109,53,78,94
641,102,50,93,77
640,114,65,91,118
639,142,54,82,93
638,132,49,102,85
637,146,82,126,107
636,135,69,116,126
635,164,72,116,121
634,167,109,108,118
633,163,99,111,134
632,157,100,117,148
631,174,96,134,139
630,154,108,144,130
629,157,106,156,117
628,179,127,146,132
627,173,130,164,123
626,157,106,153,157
625,169,141,163,118
624,163,131,172,164
623,184,133,166,165
622,156,137,199,163
621,178,136,180,166
620,182,135,171,149
619,167,150,190,165
618,161,150,197,160
617,181,141,196,152
616,191,131,175,139
615,180,137,183,148
614,179,150,164,159
613,174,157,199,144
612,175,153,160,163
611,175,153,182,162
610,145,139,183,141
609,158,147,174,180
608,160,123,180,156
607,195,193,155,141
606,160,174,160,158
605,165,174,166,161
604,159,152,168,148
603,157,177,163,145
602,185,182,180,150
601,170,152,156,138
600,165,163,175,176
599,156,157,166,143
598,145,159,159,142
597,159,146,174,166
596,138,168,160,141
595,159,137,184,158
594,152,151,179,166
593,147,144,152,140
592,150,147,164,123
591,139,145,158,153
590,152,141,167,133
589,131,137,145,158
588,134,124,149,114
587,151,126,172,144
586,153,161,159,128
585,132,161,166,129
584,165,161,146,119
583,140,122,149,112
582,143,137,155,121
581,144,145,152,119
580,169,165,136,131
579,127,138,153,113
578,138,140,138,136
577,160,119,145,116
576,150,139,146,118
575,140,136,158,114
574,131,149,159,98
573,131,125,157,113
572,153,128,142,112
571,137,138,134,126
570,139,124,164,81
569,144,125,160,119
568,146,151,134,117
567,144,130,150,125
566,144,140,156,109
565,125,175,128,114
564,136,139,133,110
563,121,137,134,116
562,127,118,164,117
561,128,142,146,119
560,132,126,136,99
559,126,141,136,98
558,135,116,143,117
557,137,134,124,111
556,126,132,142,106
555,145,142,147,115
554,160,122,118,104
553,124,139,122,115
552,145,154,135,102
551,144,134,125,108
550,125,125,147,103
549,117,138,137,103
548,133,124,123,99
547,130,139,110,105
546,115,125,129,105
545,125,134,148,104
544,118,138,135,101
543,127,109,135,118
542,132,134,167,109
541,106,138,126,107
540,148,119,124,119
539,101,141,130,85
538,111,139,117,99
537,120,126,117,82
536,118,122,128,111
535,125,135,123,115
534,126,121,124,113
533,122,126,128,86
532,151,121,104,94
531,121,110,111,101
530,118,115,113,88
529,115,135,109,101
528,113,122,117,101
527,117,102,100,92
526,114,128,105,112
525,117,109,102,100
524,120,120,106,93
523,108,107,96,106
522,79,109,106,102
521,106,140,115,108
520,99,121,90,84
519,100,125,93,83
518,105,130,94,88
517,113,107,117,79
516,101,103,105,90
515,105,120,103,73
514,126,131,98,73
513,109,108,87,87
512,104,125,105,82
511,93,139,85,80
510,94,93,96,73
509,84,105,103,80
508,97,81,93,70
507,86,109,88,77
506,79,105,93,75
505,94,84,83,83
504,94,100,90,76
503,91,108,83,76
502,84,111,86,86
501,90,91,75,71
500,98,81,89,66
499,93,82,73,82
498,98,86,91,82
497,94,102,76,66
496,80,101,69,68
495,88,104,63,58
494,81,104,88,63
493,89,85,78,72
492,81,97,74,84
491,79,86,74,83
490,83,90,74,69
489,88,72,68,59
488,80,90,77,56
487,84,83,96,74
486,85,95,77,78
485,66,77,59,63
484,73,71,69,51
483,65,74,65,53
482,67,80,78,70
481,77,93,59,61
480,76,75,73,62
479,86,100,61,49
478,73,101,68,56
477,68,79,65,68
476,68,72,81,56
475,80,68,88,57
474,84,87,65,51
473,73,73,67,51
472,66,58,67,42
471,72,83,67,47
470,74,61,75,67
469,78,80,68,54
468,65,76,56,63
467,53,63,59,46
466,68,79,53,55
465,63,71,73,53
464,83,71,59,50
463,64,72,66,56
462,68,54,46,62
461,76,82,57,54
460,68,78,62,57
459,57,73,62,52
458,74,64,54,44
457,64,70,68,56
456,64,53,58,47
455,61,77,66,53
454,65,64,54,58
453,52,65,58,49
452,63,85,65,54
451,49,70,53,49
450,61,69,55,47
449,67,79,58,53
448,57,56,64,50
447,49,72,50,54
446,54,68,55,38
445,62,66,51,47
444,56,61,53,47
443,62,51,57,47
442,64,63,61,41
441,60,78,47,50
440,56,55,79,47
439,56,62,50,41
438,55,69,64,51
437,51,62,35,58
436,52,53,52,47
435,52,50,53,40
434,57,60,44,43
433,57,54,47,49
432,54,54,48,50
431,36,56,41,54
430,55,55,58,38
429,61,51,42,46
428,46,52,54,55
427,50,63,38,51
426,45,56,53,40
425,45,53,53,55
424,47,55,50,33
423,57,53,39,44
422,36,57,62,36
421,50,53,39,48
420,47,52,39,42
419,50,38,41,34
418,55,39,44,32
417,40,47,41,31
416,48,57,41,35
415,43,53,37,29
414,47,51,38,31
413,37,37,48,43
412,41,48,41,31
411,39,33,39,41
410,39,39,31,36
409,37,45,45,36
408,39,46,49,37
407,37,40,37,32
406,49,53,47,39
405,46,41,40,25
404,42,42,33,38
403,43,40,27,31
402,50,36,33,26
401,45,50,43,40
400,36,34,47,36
